FIPS:Block,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,FIPS:County,FIPS:State,Cantidad de Casos
011210117002118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
011239624001138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
011250127001035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
011270211003018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
011290440004010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020200009012009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
020200009013014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020200010001007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020200010002004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020200011001015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020200011002023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020200016013005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020200020001010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020900001001047,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
020900002002027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020900004001013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020900007003018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020900008002000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020900014003017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
021100002005006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
021220007006011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
021220007006080,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
021220008002002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
021220013002022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
021700004011091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
021700006031014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
021700008003042,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
021700009001000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
